"","Net","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Anshubi","Bakala","Barbon","Ben_Gurion","Crab","Denis","Farida","Fish","Gambari","Gerbida","Hazir","Hulim","Intias","Jelly_Fish","Kalamari","Lavan","Makarunim","Malitta","Marmir","Musar","Palamud","Pas_Tzahov","Rofus","Rofus_Fake","Sabida","Saragus","Sardin","Scombri","Soltan","Soltan_Fake","Soltan_Mix","Special","Tarachun","Taref","Televisia","Trulus","Missing","Many.Nasralas","Comments","Lokus","Muslach","Gitara","Box_General","Tziporot","Varod","Vest","Shed.Yam","Very_weak","Daba","Octepus","Adom","Hazaim","Lokus_manot","Soltan_Hul","Gerbid_new","barbon_vadim","Cristal","Gomber","Vak.Vak","Shark","Pijama","Aras","Draging_time","Net_index","site","Direction"
"612",2218,6,15,"10","30",2016,8,22,"Michael","Ashdod S",21,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"3.25",NA,NA,NA,"2 Kg",NA,"0.5","1.5",NA,NA,"1.5","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"2 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"2218_22_8_2016","Ashdod","S"
"613",2224,17,15,"19","30",2016,8,23,"Michael","Ashdod S",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.75",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,"2224_23_8_2016","Ashdod","S"
"614",2230,6,30,"10","30",2016,8,25,"Michael","Ashdod S",23.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,"0.5",NA,"2","0.25",NA,NA,"0.2 S+","0.25",NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,"1 Ind 15 Kg",NA,NA,"0.25",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2230_25_8_2016","Ashdod","S"
"615",2234,11,45,"15","30",2016,8,28,"Levi","Ashdod S",24,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"0.5","1.5","0.25",NA,"1",NA,NA,NA,NA,NA,"0.25","2.5","0.5",NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"2234_28_8_2016","Ashdod","S"
"616",2239,16,0,"20","0",2016,8,29,"Levi","Ashdod S",22,"3",NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"4",NA,NA,NA,NA,NA,"5 Kg",NA,NA,"1",NA,NA,"0.5",NA,NA,"0.5 S+",NA,"0.5","0.5 S+","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2239_29_8_2016","Ashdod","S"
"617",2241,2,15,"6","15",2016,8,29,"Levi","Ashdod S",16,"2.5",NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"3",NA,"2",NA,NA,NA,"6 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2241_29_8_2016","Ashdod","S"
"618",2243,9,30,"14","15",2016,8,30,"Levi","Ashdod S",25,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"1","2","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2243_30_8_2016","Ashdod","S"
"619",2252,19,45,"23","30",2016,9,1,"Michael","Ashdod S",26.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"2252_1_9_2016","Ashdod","S"
"620",2332,20,15,"1","0",2016,10,4,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"2",NA,"3",NA,NA,NA,"10 Kg S+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2332_4_10_2016","Ashdod","S"
"621",2336,21,30,"1","45",2016,10,5,"Levi","Ashdod S",NA,"2.2",NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"2",NA,"1",NA,NA,NA,"6 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"2336_5_10_2016","Ashdod","S"
"622",2361,10,30,"11","0",2016,10,14,"Levi","Ashdod S",22,NA,NA,FALSE,2.2,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"2361_14_10_2016","Ashdod","S"
"623",2364,21,30,"2","30",2016,10,14,"Levi","Ashdod S",17,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,"2",NA,"1",NA,"6 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2364_14_10_2016","Ashdod","S"
"624",2366,9,0,"12","15",2016,10,15,"Levi","Ashdod S",24.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"0.25",NA,NA,NA,NA,NA,NA,"2","1",NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,"2 Ind 8 Kg +1 Ind 3 Kg",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,"2366_15_10_2016","Ashdod","S"
"625",2389,12,15,"15","45",2016,10,25,"Levi","Ashdod S",14,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1",NA,"1 B+ 0.5 S+",NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"TRUE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"2389_25_10_2016","Ashdod","S"
"626",2391,20,15,"1","0",2016,10,25,"Levi","Ashdod S",16,"3",NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"2",NA,"2",NA,NA,NA,"7 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2391_25_10_2016","Ashdod","S"
"627",2408,10,15,"14","15",2016,10,30,"Michael","Ashdod S",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"0.5",NA,NA,NA,NA,NA,"1","3",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2408_30_10_2016","Ashdod","S"
"628",2412,6,0,"11","15",2016,10,31,"Michael","Ashdod S",23,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,"0.5",NA,NA,NA,NA,NA,NA,"2",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"2412_31_10_2016","Ashdod","S"
"629",2415,11,15,"16","30",2016,11,2,"Michael","Ashdod S",22,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"13",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,"2.5",NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"2415_2_11_2016","Ashdod","S"
"630",2418,12,30,"17","45",2016,11,3,"Michael","Ashdod S",22,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1.5",NA,"0.5",NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"2",NA,"1.5",NA,NA,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"2418_3_11_2016","Ashdod","S"
"631",2438,10,45,"14","45",2016,11,9,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,"1 L+","1.5",NA,"1 B+",NA,NA,NA,NA,NA,"1 L+",NA,"2",NA,NA,NA,NA,NA,"2 L+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 B+",FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,4,"2438_9_11_2016","Ashdod","S"
"632",2442,6,30,"11","0",2016,11,10,"Levi","Ashdod S",10,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3",NA,NA,NA,NA,NA,NA,"0.3 B+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,FALSE,"FALSE",NA,"0.5 S+",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"0.3",NA,NA,NA,NA,NA,NA,NA,NA,4.5,"2442_10_11_2016","Ashdod","S"
"633",2448,3,45,"6","45",2016,11,15,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"2",NA,NA,NA,"6 Kg",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2448_15_11_2016","Ashdod","S"
"634",2453,6,30,"10","30",2016,11,21,"Michael","Ashdod S",16,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"2",NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 B+",FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2453_21_11_2016","Ashdod","S"
"635",2460,19,45,"23","30",2016,11,22,"Michael","Ashdod S",23,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,"1",NA,NA,NA,"1 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"2460_22_11_2016","Ashdod","S"
"636",2462,11,15,"16","15",2016,11,23,"Michael","Ashdod S",19,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,"1.5",NA,NA,NA,NA,NA,"3.5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2462_23_11_2016","Ashdod","S"
"637",2465,8,30,"12","30",2016,11,24,"Michael","Ashdod S",19,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1.5",NA,"0.75",NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"0.5",NA,NA,NA,NA,"0.5","1","1.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2465_24_11_2016","Ashdod","S"
"638",2472,1,30,"5","0",2016,11,25,"Michael","Ashdod S",19,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"0.5",NA,NA,NA,"3 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"2472_25_11_2016","Ashdod","S"
"639",2480,13,45,"16","30",2016,11,28,"Levi","Ashdod S",14,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"0.5",NA,"1",NA,"0.5 S+",NA,NA,NA,NA,NA,"0.5",NA,"2",NA,NA,NA,NA,NA,"0.5","0.5 B+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,2.75,"2480_28_11_2016","Ashdod","S"
"640",2483,6,0,"10","15",2016,11,29,"Levi","Ashdod S",14,"3",NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"1",NA,NA,"6",NA,NA,NA,NA,"0.5","0.5 L+",NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,"1",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"2483_29_11_2016","Ashdod","S"
"641",2487,0,30,"5","30",2016,11,29,"Levi","Ashdod S",16.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"3",NA,NA,NA,"20 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2487_29_11_2016","Ashdod","S"
"642",2489,11,0,"16","0",2016,11,30,"Levi","Ashdod S",12,"3",NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"1",NA,NA,"0.5",NA,NA,NA,NA,"1","0.5",NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2489_30_11_2016","Ashdod","S"
"643",2490,16,30,"22","15",2016,11,30,"Levi","Ashdod S",14,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"0.5",NA,"2",NA,NA,NA,"20 Kg",NA,NA,"1",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,"2490_30_11_2016","Ashdod","S"
"644",2491,22,45,"3","15",2016,11,30,"Levi","Ashdod S",15,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,NA,NA,"2",NA,NA,"1","25 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"2491_30_11_2016","Ashdod","S"
"645",2492,11,15,"15","30",2016,12,3,"Levi","Ashdod S",13.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,"1","2",NA,"1 M+",NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"1 B+ 1 L+","2.5",NA,NA,"0.25 B+",NA,NA,"0.5","2.5",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,4.25,"2492_3_12_2016","Ashdod","S"
"646",2495,23,45,NA,NA,2016,12,3,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"0.5",NA,"2",NA,NA,NA,"8 Kg",NA,NA,"1",NA,NA,"0.5",NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2495_3_12_2016","Ashdod","S"
"647",2498,20,0,"23","30",2016,12,4,"Michael","Ashdod S",23,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,"1",NA,NA,NA,NA,NA,NA,"2 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"2498_4_12_2016","Ashdod","S"
"648",2514,11,0,"14","30",2016,12,9,"Michael","Ashdod S",21,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1.5",NA,NA,NA,NA,NA,"0.5","1.25",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"2514_9_12_2016","Ashdod","S"
"649",2525,20,45,"2","15",2016,12,15,"Levi","Ashdod S",23,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"23",NA,"1",NA,NA,NA,"3 Kg",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"2525_15_12_2016","Ashdod","S"
"650",2531,8,45,"13","15",2016,12,17,"Levi","Ashdod S",10,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,"4",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 S+",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,4.5,"2531_17_12_2016","Ashdod","S"
"651",2532,14,0,"17","45",2016,12,17,"Levi","Ashdod S",12,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"0.75",NA,"2",NA,NA,NA,"1","0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 S+",FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,3.75,"2532_17_12_2016","Ashdod","S"
"652",2535,11,15,"16","45",2016,12,18,"Levi","Ashdod S",10,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,5.5,"2535_18_12_2016","Ashdod","S"
"653",2536,23,30,"1","0",2016,12,18,"Levi","Ashdod S",22,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"2536_18_12_2016","Ashdod","S"
"654",2537,1,30,"6","15",2016,12,18,"Levi","Ashdod S",15,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"5",NA,"3",NA,NA,NA,"2 Kg",NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"0.5 S+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2537_18_12_2016","Ashdod","S"
"655",2538,7,15,"11","15",2016,12,19,"Levi","Ashdod S",10,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,4,"2538_19_12_2016","Ashdod","S"
"656",2539,13,0,"17","15",2016,12,19,"Levi","Ashdod S",21.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"10 M+",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,"1 B+","0.5",NA,NA,"0.5",NA,NA,NA,"0.5 L+",NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"2539_19_12_2016","Ashdod","S"
"657",2542,12,0,"16","45",2016,12,20,"Michael","Ashdod S",20.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"12.5",NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"2",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2542_20_12_2016","Ashdod","S"
