Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
93,17,30,00,00,1978,06,30,Levi,Borot,12,,,,FALSE,,FALSE,,FALSE,FALSE,93,,,,,,,,,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
94,00,30,06,30,1978,07,01,Levi,Borot,12,,,,FALSE,,FALSE,,FALSE,FALSE,94,,,,,,,,,14 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
95,07,00,12,30,1978,07,01,Levi,Borot E,12,,,,FALSE,,FALSE,,FALSE,FALSE,95,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
96,13,00,19,00,1978,07,01,Levi,Borot E,12,,,,FALSE,,FALSE,,FALSE,FALSE,96,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
97,19,30,01,00,1978,07,01,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,97,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
98,01,30,06,00,1978,07,02,Levi,Borot,13,,,,FALSE,,FALSE,,FALSE,FALSE,98,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
99,05,40,10,00,1978,07,03,Knaan,Rfiach,14,,,,FALSE,,FALSE,,FALSE,FALSE,99,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
100,10,30,14,30,1978,07,03,Knaan,Rfiach,14,,,,FALSE,,FALSE,,FALSE,FALSE,100,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
101,15,00,19,15,1978,07,03,Knaan,Yamit,,,,,FALSE,,FALSE,,FALSE,FALSE,101,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
102,07,30,12,30,1978,07,11,Zion,Borot E,9,,,,FALSE,,FALSE,,FALSE,FALSE,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,
103,13,00,17,30,1978,07,11,Zion,Borot,12,,,,FALSE,,FALSE,,FALSE,FALSE,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
104,,,,,1978,07,13,Shrot,Petach,9,,,,FALSE,,FALSE,,FALSE,FALSE,104,,,,,,,,,17 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
105,,,,,1978,07,13,Shrot,Mistach,12,,,,FALSE,,FALSE,,FALSE,FALSE,105,,,,,,,,,21 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
106,,,,,1978,07,13,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,106,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,3 Ind,,,,,,,,FALSE,,,,,,,,,,
107,,,,,1978,07,16,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,107,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
108,,,,,1978,07,16,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,108,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
109,,,,,1978,07,16,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,109,,,,,,,,,17 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
110,,,,,1978,07,16,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,110,,,,,,,,,13 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
111,,,,,1978,07,17,Shrot,Petach,8,,,,FALSE,,FALSE,,FALSE,FALSE,111,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
112,,,,,1978,07,17,Shrot,Petach,8,,,,FALSE,,FALSE,,FALSE,FALSE,112,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
113,,,,,1978,07,17,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,113,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
114,,,,,1978,07,17,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,114,,,,,,,,,14 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
115,,,,,1978,07,18,Shrot,Borot E,,,,,FALSE,,FALSE,,FALSE,FALSE,115,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
116,,,,,1978,07,18,Shrot,Borot E,,,,,FALSE,,FALSE,,FALSE,FALSE,116,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
117,,,,,1978,07,18,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,117,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
118,07,15,11,15,1978,07,20,Levi,,14,,,,FALSE,,FALSE,,FALSE,FALSE,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5 +1 Ind,,,,,FALSE,,,,,,,,,,
119,12,00,,,1978,07,20,Levi,,13,,,,FALSE,,FALSE,,FALSE,FALSE,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,
120,20,30,01,30,1978,07,20,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,120,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
121,02,00,07,30,1978,07,21,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,121,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
122,08,00,13,0,1978,07,21,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,122,,,,,,,,,3 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1 Ind,,,,,FALSE,,,,,,,,,,
123,14,00,20,00,1978,07,21,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,123,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
124,21,00,04,30,1978,07,21,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,124,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
125,06,00,10,00,1978,07,22,Levi,Mistach E,25,,,,FALSE,,FALSE,Fish,FALSE,FALSE,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
126,11,30,14,30,1978,07,22,Levi,Borot E,10,,,,FALSE,,FALSE,Fish,FALSE,FALSE,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
127,16,00,18,00,1978,07,22,Levi,Petach W,14,,,,FALSE,,FALSE,,FALSE,FALSE,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
128,19,30,01,00,1978,07,22,Levi,Borot_high,,,,,FALSE,,FALSE,,FALSE,FALSE,128,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
129,01,30,05,30,1978,07,23,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,129,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
130,07,00,11,00,1978,07,23,Levi,Borot E,30,,,,FALSE,,FALSE,,FALSE,FALSE,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
131,13,00,17,00,1978,07,23,Levi,,12,,,,FALSE,,FALSE,,FALSE,FALSE,131,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
132,18,00,00,00,1978,07,23,Levi,Petach,8,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,132,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
133,00,30,05,00,1978,07,24,Levi,Yamit W,8,,,,FALSE,,FALSE,,FALSE,FALSE,133,,,,,,,,,4 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
134,07,00,11,00,1978,07,24,Levi,El Arish,15,,,,FALSE,,FALSE,,FALSE,FALSE,134,,,,,,,,4+3 Ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
135,12,00,16,00,1978,07,24,Levi,Rfiach S,13,,,,FALSE,,FALSE,,FALSE,FALSE,135,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
136,16,30,19,30,1978,07,24,Levi,,13,,,,FALSE,,FALSE,,FALSE,FALSE,136,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
137,20,30,01,30,1978,07,24,Levi,El Arish W,10,,,,FALSE,,FALSE,,FALSE,FALSE,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
138,02,00,06,00,1978,07,25,Levi,El Arish W,12,,,,FALSE,,FALSE,,FALSE,FALSE,138,,,,,,,,4,4 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
139,06,45,10,30,1978,07,25,Levi,El Arish E,12,,,,FALSE,,FALSE,,FALSE,FALSE,139,,,,,,,,8,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
140,11,00,15,00,1978,07,25,Levi,El Arish N,15,,,,FALSE,,FALSE,,FALSE,FALSE,140,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
141,15,30,18,30,1978,07,25,Levi,Gazza S,16,,,,FALSE,,FALSE,,FALSE,FALSE,141,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
142,05,30,09,30,1978,07,26,Levi,Dir_el_balach S,16,,,,FALSE,,FALSE,,FALSE,FALSE,142,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
143,11,30,15,30,1978,07,26,Levi,South,12,,,,FALSE,,FALSE,,FALSE,FALSE,143,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
144,16,45,20,30,1978,07,26,Levi,south,13,,,,FALSE,,FALSE,,FALSE,FALSE,144,,,,,,,,6,7 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
145,21,30,02,30,1978,07,26,Levi,the_city,13,,,,FALSE,,FALSE,,FALSE,FALSE,145,,,,,,,,2,3 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
146,03,30,07,45,1978,07,27,Levi,the_city E,12,,,,FALSE,,FALSE,,FALSE,FALSE,146,,,,,,,,3,4 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
147,08,30,12,30,1978,07,27,Levi,the_city E,15,,,,FALSE,,FALSE,,FALSE,FALSE,147,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
148,13,00,17,00,1978,07,27,Levi,South,14,,,,FALSE,,FALSE,,FALSE,FALSE,148,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
149,17,30,23,30,1978,07,27,Levi,Gazza S,22,,,,FALSE,,FALSE,,FALSE,FALSE,149,,,,,,,,4 +2 Ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
150,23,30,05,00,1978,07,28,Levi,Gazza S,22,,,,FALSE,,FALSE,,FALSE,FALSE,150,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
151,05,30,09,30,1978,07,28,Levi,Gazza S,,,,,FALSE,,FALSE,,FALSE,FALSE,151,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
152,10,30,,,1978,07,28,Levi,Katza S,,,,,FALSE,,FALSE,,FALSE,FALSE,152,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
153,,,,,1978,07,28,Levi,Katza N,20,,,,FALSE,,FALSE,,FALSE,FALSE,153,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
154,05,30,08,30,1978,07,29,Levi,Palmachim N,22,,,,FALSE,,FALSE,,FALSE,FALSE,154,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,20 Kg,,,,,,,,FALSE,,,,,,,,,,
155,,,,,1978,07,30,Shrot,Borot,12,,,,FALSE,,FALSE,,FALSE,FALSE,155,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
156,,,,,1978,07,30,Shrot,Borot_high,,,,,FALSE,,FALSE,,FALSE,FALSE,156,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
157,,,,,1978,07,31,Shrot,Mistach,,10,,,FALSE,,FALSE,,FALSE,FALSE,157,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
158,,,,,1978,07,31,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,158,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
159,,,,,1978,07,31,Shrot,Mistach,,14,,,FALSE,,FALSE,,TRUE,FALSE,159,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
160,,,,,1978,07,31,Shrot,Mistach,,9,,,FALSE,,FALSE,,TRUE,FALSE,160,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
161,,,,,1978,08,01,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,161,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
162,,,,,1978,08,01,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,162,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
163,,,,,1978,08,01,Shrot,Mistach,,12,,,FALSE,,FALSE,,FALSE,FALSE,163,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
164,,,,,1978,08,01,Shrot,Mistach,,12,,,FALSE,,FALSE,,FALSE,FALSE,164,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
165,,,,,1978,08,02,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,165,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
166,,,,,1978,08,02,Shrot,Mistach,,10,,,FALSE,,FALSE,,FALSE,FALSE,166,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
167,,,,,1978,08,02,Shrot,Mistach,,12,,,FALSE,,FALSE,,FALSE,FALSE,167,,,,,,,,,18 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
168,,,,,1978,08,02,Shrot,,,12,,,FALSE,,FALSE,,FALSE,FALSE,168,,,,,,,,,17 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
169,,,,,1978,08,03,Shrot,Mistach,10,,,,FALSE,,FALSE,,FALSE,FALSE,169,,,,,,,,,7 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
170,,,,,1978,08,03,Shrot,Petach,8,,,,FALSE,,FALSE,,FALSE,FALSE,170,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
171,,,,,1978,08,03,Shrot,Mistach,,12,,,FALSE,,FALSE,,TRUE,FALSE,171,,,,,,,,,17 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
172,,,,,1978,08,03,Shrot,Mistach,,,,,FALSE,,FALSE,,TRUE,FALSE,172,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
173,,,,,1978,08,04,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,173,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
174,,,,,1978,08,04,Shrot,Mistach,,10,,,FALSE,,FALSE,,FALSE,FALSE,174,,,,,,,,,14 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
175,,,,,1978,08,04,Shrot,Mistach,,12,,,FALSE,,FALSE,,FALSE,FALSE,175,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
176,,,,,1978,08,04,Shrot,Mistach,,12,,,FALSE,,FALSE,,FALSE,FALSE,176,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
177,,,,,1978,08,05,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,177,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
178,,,,,1978,08,05,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,178,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
179,,,,,1978,08,05,Shrot,Mistach,,10,,,FALSE,,FALSE,,FALSE,FALSE,179,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
180,,,,,1978,08,05,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,180,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
181,,,,,1978,08,06,Shrot,Mistach,,9,,,FALSE,,FALSE,,FALSE,FALSE,181,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
182,,,,,1978,08,06,Shrot,Mistach,,8,,,FALSE,,FALSE,,FALSE,FALSE,182,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
183,06,00,09,3,1978,08,08,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,183,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
184,10,15,14,30,1978,08,08,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,184,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
185,20,15,00,15,1978,08,08,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,185,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
186,00,30,04,50,1978,08,09,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,186,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
187,05,20,10,10,1978,08,09,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,187,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
188,10,40,16,20,1978,08,09,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,188,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
189,18,00,23,40,1978,08,09,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,189,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
190,00,00,05,30,1978,08,10,Zion,,,,,,FALSE,,FALSE,,FALSE,FALSE,190,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
191,06,30,12,30,1978,08,10,Zion,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,191,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
192,13,40,17,50,1978,08,10,Zion,keles W,,,,,FALSE,,FALSE,,FALSE,FALSE,192,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
193,11,30,17,30,1978,08,17,Levi,Borot,16,,,,FALSE,,FALSE,,FALSE,FALSE,193,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
194,18,00,00,00,1978,08,17,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,194,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
195,00,00,06,30,1978,08,18,Levi,solhan,,,,,FALSE,,FALSE,,FALSE,FALSE,195,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
196,06,30,12,00,1978,08,18,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,196,,,,,,,,,13 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
197,12,30,18,00,1978,08,18,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,197,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
198,00,30,18,00,1978,08,19,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,198,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
199,06,30,10,00,1978,08,19,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,199,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
200,11,00,18,00,1978,08,19,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,200,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
201,11,00,18,00,1978,08,19,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,201,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
202,19,00,01,00,1978,08,19,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,202,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
